loan_number,city,state,zipcode,actual_arv,rf_v2_pred_arv,abs_error_dollars,pct_error,abs_error
L20254595,Other,GA,30068,3800000,2583298.8977629,1216701.1022370998,-0.32018450058871045,-1216701.1022370998
L20254957,Charlotte,NC,28216,1150000,263208.12772053614,886791.8722794638,-0.7711233671995338,-886791.8722794638
L20254055,Other,GA,30033,1250000,657232.4237267135,592767.5762732865,-0.4742140610186292,-592767.5762732865
L20254473,Other,CO,80209,3200000,2820285.3670945936,379714.6329054064,-0.1186608227829395,-379714.6329054064
L20254140,Charlotte,NC,28205,1700000,1334979.801308478,365020.198691522,-0.2147177639361894,-365020.198691522
L20254702,Other,NC,27312,1500000,1144666.634404554,355333.36559544597,-0.23688891039696397,-355333.36559544597
L20254526,Other,IN,46077,1600000,1950997.9384996982,350997.9384996982,0.21937371156231136,350997.9384996982
L20254099,Charlotte,NC,28205,1650000,1330973.646455141,319026.353544859,-0.1933493051787024,-319026.353544859
L20254272,Other,CO,80209,2400000,2134920.8125230027,265079.18747699726,-0.11044966144874886,-265079.18747699726
L20254566,Other,NC,28804,940000,740738.3561195652,199261.6438804348,-0.21198047221322852,-199261.6438804348
L20254015,Charlotte,NC,28213,400000,213362.28232643238,186637.71767356762,-0.46659429418391907,-186637.71767356762
L20254387,Charlotte,NC,28278,415000,593480.7911480372,178480.79114803718,0.430074195537439,178480.79114803718
L20254135,Atlanta,GA,30317,1350000,1172037.6627099046,177962.3372900954,-0.13182395354821883,-177962.3372900954
L20254567,Charlotte,NC,28270,750000,573516.4736218671,176483.52637813287,-0.23531136850417717,-176483.52637813287
L20254340,Other,SC,29316,395000,218732.65067884297,176267.34932115703,-0.44624645397761276,-176267.34932115703
L20243864,Atlanta,GA,30318,440000,269114.5280568296,170885.4719431704,-0.3883760725981146,-170885.4719431704
L20254118,Atlanta,GA,30345,900000,730670.9018275313,169329.09817246872,-0.18814344241385414,-169329.09817246872
L20254085,Other,TN,37076,1000000,1156873.0675159213,156873.0675159213,0.1568730675159213,156873.0675159213
L20254154,Charlotte,NC,28270,2900000,2749486.1811228795,150513.8188771205,-0.05190131685417949,-150513.8188771205
L20254308,Charlotte,NC,28208,2160000,2019940.1879606,140059.81203939999,-0.06484250557379628,-140059.81203939999
L20254549,Other,IN,46545,215000,350199.86682666367,135199.86682666367,0.628836589891459,135199.86682666367
L20254070,Other,SC,29707,1520000,1386546.4585304223,133453.5414695777,-0.08779838254577481,-133453.5414695777
L20254515,Other,NC,28613,650000,517038.19283763826,132961.80716236174,-0.20455662640363345,-132961.80716236174
L20243866,Charlotte,NC,28227,400000,277711.90921485523,122288.09078514477,-0.30572022696286194,-122288.09078514477
L20254936,Charlotte,NC,28277,1650000,1772225.6787405147,122225.67874051468,0.07407616893364526,122225.67874051468
L20254403,Other,NC,27597,900000,1021321.0693100695,121321.06931006955,0.1348011881222995,121321.06931006955
L20254742,Other,IN,46074,1200000,1321072.128982412,121072.12898241193,0.10089344081867661,121072.12898241193
L20254630,Other,CO,80207,830000,723454.4797912261,106545.5202087739,-0.128368096637077,-106545.5202087739
L20254164,Other,MO,64109,670000,572234.4571503273,97765.54284967273,-0.14591872067115333,-97765.54284967273
L20254462,Other,GA,30518,900000,987900.6905281394,87900.69052813936,0.09766743392015484,87900.69052813936
L20243879,Other,NC,27376,550000,463080.4026256853,86919.59737431468,-0.15803563158966305,-86919.59737431468
L20243884,Charlotte,NC,28211,890000,803978.8814721019,86021.1185278981,-0.09665294216617763,-86021.1185278981
L20253953,Other,NC,27565,325000,240524.0555569312,84475.94444306879,-0.2599259829017501,-84475.94444306879
L20254291,Other,NC,27529,390000,469611.0134691541,79611.01346915407,0.20413080376706172,79611.01346915407
