loan_number,street_address,city,state,zipcode,actual_arv,rf_v2_pred_arv_webstyle,abs_error_dollars,pct_error,abs_error
L20254595,3571 Clubland Dr,Marietta,GA,30068,3800000,3210112.001979211,589887.9980207891,-0.15523368368968135,-589887.9980207891
L20254702,95 Bob White,Pittsboro,NC,27312,1500000,1190872.1807314532,309127.81926854677,-0.20608521284569783,-309127.81926854677
L20254473,1085 S Josephine St,Denver,CO,80209,3200000,2930180.247342511,269819.7526574889,-0.08431867270546528,-269819.7526574889
L20254526,5356 S Us Highway 421,Zionsville,IN,46077,1600000,1852145.2024549413,252145.20245494135,0.15759075153433835,252145.20245494135
L20254308,813 Ambassador St,Charlotte,NC,28208,2160000,1945632.7764360409,214367.22356395912,-0.09924408498331441,-214367.22356395912
L20254988,401 McDonald Ave,Charlotte,NC,28203,2600000,2386773.908999691,213226.0910003092,-0.08201003500011893,-213226.0910003092
L20254099,2409 Kingsbury Dr,Charlotte,NC,28205,1650000,1457219.5381674236,192780.46183257643,-0.11683664353489481,-192780.46183257643
L20254015,4732 Hidden Valley Rd,Charlotte,NC,28213,400000,212706.43448001466,187293.56551998534,-0.4682339137999633,-187293.56551998534
L20243864,2457 Paul Ave NW,Atlanta,GA,30318,440000,270503.6813659126,169496.3186340874,-0.3852189059865623,-169496.3186340874
L20254742,19499 Chad Hittle Dr,Westfield,IN,46074,1200000,1354021.2342677384,154021.23426773841,0.12835102855644867,154021.23426773841
L20254340,532 S Fredrick Way,Boiling Springs,SC,29316,395000,241142.93074412487,153857.06925587513,-0.3895115677363927,-153857.06925587513
L20254566,29 Olivette Rd,Asheville,NC,28804,940000,809778.5418164227,130221.45818357728,-0.13853346615274179,-130221.45818357728
L20254253,1200 Dekalb Ave NE,Atlanta,GA,30307,725000,595899.6398069892,129100.36019301077,-0.17806946233518728,-129100.36019301077
L20254170,1210 Thomasboro Dr,Charlotte,NC,28208,2160000,2288168.42613109,128168.42613109015,0.059337234319949146,128168.42613109015
L20254376,109 Milton Pl,South Orange,NJ,7079,640000,758199.7519270461,118199.7519270461,0.18468711238600954,118199.7519270461
L20243866,8706 Brief Rd,Charlotte,NC,28227,400000,286504.3455754451,113495.6544245549,-0.28373913606138723,-113495.6544245549
L20254140,2824 N Brevard St,Charlotte,NC,28205,1700000,1595426.1885130173,104573.81148698274,-0.06151400675704867,-104573.81148698274
L20254135,49 Daniel Ave NE,Atlanta,GA,30317,1350000,1250513.9236432707,99486.07635672926,-0.07369338989387353,-99486.07635672926
L20254213,4111 Cleveland Ave,Saint Louis,MO,63110,500000,599426.5209021907,99426.5209021907,0.1988530418043814,99426.5209021907
L20254084,1210 Pimlico Ct,Marietta,GA,30062,660000,759408.2938539361,99408.29385393613,0.15061862705141837,99408.29385393613
L20254942,2060 N Central Ave,Indianapolis,IN,46202,700000,606263.489674215,93736.51032578503,-0.1339093004654072,-93736.51032578503
L20254079,2001 Sevier St,Nashville,TN,37206,2000000,1907332.2736317154,92667.72636828455,-0.046333863184142274,-92667.72636828455
L20254085,5001 Bell Rd,Hermitage,TN,37076,1000000,1089518.409362754,89518.40936275409,0.08951840936275408,89518.40936275409
L20254866,90 Miry Creek Ln,Clinton,NC,28328,310000,221676.7159823441,88323.28401765591,-0.2849138194117933,-88323.28401765591
L20254378,9 Rangeview Dr,Wheat Ridge,CO,80215,1350000,1436285.1380316203,86285.1380316203,0.06391491706045949,86285.1380316203
L20254115,2413 Rose Palm Pl,Atlanta,GA,30315,300000,217876.41842084346,82123.58157915654,-0.2737452719305218,-82123.58157915654
L20254188,3511 Brookview Dr,Marietta,GA,30068,510000,589643.4857819314,79643.48578193143,0.15616369761163026,79643.48578193143
L20254449,2640 Elmin St,Charlotte,NC,28208,700000,625184.5794440081,74815.42055599194,-0.10687917222284563,-74815.42055599194
L20254967,5752 Janet Dr,Iron Station,NC,28080,390000,317486.29732337326,72513.70267662674,-0.1859325709657096,-72513.70267662674
L20254990,LOT 79 Kingswood Dr,Statesville,NC,28625,380000,308048.3488560484,71951.65114395157,-0.18934645037881992,-71951.65114395157
L20254163,51 Murray Ave,Annapolis,MD,21401,1300000,1228199.1513412418,71800.84865875822,-0.055231422045198625,-71800.84865875822
L20254700,3417 Windsor Rd SW,Roanoke,VA,24018,450000,380227.9545745695,69772.04542543052,-0.15504898983429005,-69772.04542543052
L20254054,1041 McLendon Dr,Decatur,GA,30033,1200000,1269689.1700752608,69689.1700752608,0.05807430839605067,69689.1700752608
L20254164,3312 Holmes St,Kansas City,MO,64109,670000,604389.6240501144,65610.37594988558,-0.09792593425356057,-65610.37594988558
L20243885,1201 Louise Ave,Charlotte,NC,28205,1200000,1135504.09779849,64495.902201510035,-0.05374658516792503,-64495.902201510035
L20254118,2958 Applewood Ct NE,Atlanta,GA,30345,900000,838245.692083387,61754.30791661295,-0.0686158976851255,-61754.30791661295
L20254515,4433 Holly Cir NE,Conover,NC,28613,650000,589254.2303343106,60745.76966568944,-0.09345503025490683,-60745.76966568944
L20254517,6738 Starcrest Dr,Charlotte,NC,28210,515000,575431.6636344421,60431.66363444214,0.1173430361833828,60431.66363444214
L20254239,12708 Shephards Landing Dr,Wake Forest,NC,27587,720000,780305.8797414865,60305.87974148651,0.08375816630762016,60305.87974148651
L20254856,3155 Briarcliffe Rd,Winston Salem,NC,27106,445000,504554.0654570988,59554.065457098826,0.13382936057775016,59554.065457098826
